Gorham,WEVC,FM,107.1,New Hampshire
Hanover,WEVH,FM,91.3,New Hampshire
Keene,WEVN,FM,90.7,New Hampshire
Atlantic City,WNJN,FM,89.7,New Jersey
Berlin,WNJS,FM,88.1,New Jersey
Bridgeton,WNJB,FM,89.3,New Jersey
Cape May,WNJZ,FM,90.3,New Jersey
Hackettstown,WNTI,FM,91.9,New Jersey
Lincroft,WBJB,FM,90.5,New Jersey
Manahawkin,WNJM,FM,89.9,New Jersey
Newark,WBGO,FM,88.3,New Jersey
Ocean City / Atlantic City,WRTQ,FM,91.3,New Jersey
Sussex,WNJP,FM,88.5,New Jersey
Trenton,WNJT,FM,88.1,New Jersey
Albuquerque,KANW,FM,89.1,New Mexico
Albuquerque,KUNM,FM,89.9,New Mexico
Gallup,KGLP,FM,91.7,New Mexico
Las Cruces,KRWG,FM,90.7,New Mexico
Magdalena,KABR,AM,1500,New Mexico
Maljamar,KMTH,FM,98.7,New Mexico
Portales,KENW,FM,89.5,New Mexico
Ramah,KTDB,FM,89.7,New Mexico
Albany,WAMC,FM,90.3,New York
Binghamton,WSKG,FM,89.3,New York
Binghamton,WSQX,FM,91.5,New York
Blue Mtn.,WXLH,FM,91.3,New York
Brooklyn,WNYE,FM,91.5,New York
Brookville,WCWP,FM,88.1,New York
Buffalo,WBFO,FM,88.7,New York
Buffalo,WNED,AM,970,New York
Buffalo,WNED,FM,89.3,New York
Canajoharie,WCAN,FM,93.3,New York
Canton,WSLU,FM,89.5,New York
Corning,WSQE,FM,91.1,New York
Geneva,WEOS,FM,89.7,New York
Hornell,WSQA,FM,88.7,New York
Houghton,WJSL,FM,90.3,New York
Ithaca,WSQG,FM,90.9,New York
Jamestown,WUBJ,FM,88.1,New York
Jeffersonville,WJFF,FM,90.5,New York
Kingston,WAMK,FM,90.9,New York
Malone,WSLO,FM,90.9,New York
Middletown,WOSR,FM,91.7,New York
New York City,WFUV,FM,90.7,New York
New York City,WNYC,AM,820,New York
New York City,WNYC,FM,93.9,New York
North Creek,WXLG,FM,89.9,New York
Olean,WOLN,FM,91.3,New York
Oneonta,WSQC,FM,91.7,New York
Oswego,WRVO,FM,89.9,New York
Oswego,WRVD,FM,90.3,New York
Peru,WXLU,FM,88.3,New York
Plattsburgh,WCEL,FM,91.9,New York
Poughkeepsie,WRHV,FM,88.7,New York
Rochester,WXXI,AM,1370,New York
Rochester,WXXI,FM,91.5,New York
Saranac Lake,WSLL,FM,90.5,New York
Schenectady,WMHT,FM,89.1,New York
Selden,WSUF,FM,89.9,New York
Southampton,WLIU,FM,88.3,New York
Southampton,WRLI,FM,91.3,New York
Syracuse,WAER,FM,88.3,New York
Syracuse,WCNY,FM,91.3,New York
Ticonderoga,WANC,FM,103.9,New York
Utica,WRVN,FM,91.9,New York
Utica,WUNY,FM,89.5,New York
Watertown,WJNY,FM,90.9,New York
Watertown,WRVJ,FM,91.7,New York
Watertown,WSLJ,FM,88.9,New York
Asheville,WCQS,FM,88.1,North Carolina
Atlantic Beach,WBJD,FM,91.5,North Carolina
Buxton,WBUX,FM,90.5,North Carolina
Chapel Hill,WUNC,FM,91.5,North Carolina
Charlotte,WFAE,FM,90.7,North Carolina
Davidson,WDAV,FM,89.9,North Carolina
Durham,WNCU,FM,90.7,North Carolina
Fayetteville,WFSS,FM,91.9,North Carolina
Franklin,WFQS,FM,91.3,North Carolina
Hickory,WFHE,FM,90.3,North Carolina
Kingston,WKNS,FM,90.5,North Carolina
Manteo,WURI,FM,91.5,North Carolina
New Bern,WTEB,FM,89.3,North Carolina
Roanoke Rapids,WZRU,FM,88.5,North Carolina
Rocky Mount,WRQM,FM,90,North Carolina
Spindale,WNCW,FM,88.7,North Carolina
Wilmington,WHQR,FM,91.3,North Carolina
Winston-Salem,WFDD,FM,88.5,North Carolina
Belcourt,KEYA,FM,88.5,North Dakota
Bismarck,KCND,FM,90.5,North Dakota
Dickinson,KDPR,FM,89.9,North Dakota
Fargo,KDSU,FM,91.9,North Dakota
Grand Forks,KUND,FM,89.3,North Dakota
Jamestown,KPRJ,FM,91.5,North Dakota
Minot,KMPR,FM,88.9,North Dakota
Williston,KPPR,FM,89.5,North Dakota
Athens,WOUB,AM,1340,Ohio
Athens,WOUB,FM,91.3,Ohio
Bryan,WGBE,FM,90.9,Ohio
Cambridge,WOUC,FM,89.1,Ohio
Chillicothe,WOUH,FM,91.9,Ohio
Chillicothe,WVXC,FM,89.3,Ohio
Cincinnati,WGUC,FM,90.9,Ohio
Cincinnati,WVXU,FM,91.7,Ohio
Cleveland,WCPN,FM,90.3,Ohio
Columbus,WCBE,FM,90.5,Ohio
Columbus,WOSU,AM,820,Ohio
Coshocton,WOSE,FM,91.1,Ohio
Dayton,WDPR,FM,88.1,Ohio
Defiance,WGDE,FM,91.9,Ohio
Ironton,WOUL,FM,89.1,Ohio
Kent,WKSU,FM,89.7,Ohio
Lima,WGLE,FM,90.7,Ohio
Mansfield,WOSV,FM,91.7,Ohio
Marion,WOSB,FM,91.1,Ohio
Mt. Gilead,WVXG,FM,95.1,Ohio
New Philadelphia,WKRJ,FM,91.5,Ohio
Oxford,WMUB,FM,88.5,Ohio
Portsmouth,WOSP,FM,91.5,Ohio
Thompson,WSKV,FM,89.1,Ohio
Toledo,WGTE,FM,91.3,Ohio
West Union,WVXW,FM,89.5,Ohio
Wooster,WKRW,FM,89.3,Ohio
Yellow Springs,WYSO,FM,91.3,Ohio
Youngstown,WYSU,FM,88.5,Ohio
Zanesville,WOUZ,FM,90.1,Ohio
Ardmore,KLCU,FM,90.3,Oklahoma
Lawton,KCCU,FM,89.3,Oklahoma
Norman,KGOU,FM,106.3,Oklahoma
Oklahoma City,KROU,FM,105.7,Oklahoma
Stillwater,KOSU,FM,91.7,Oklahoma
Tulsa,KWGS,FM,89.5,Oklahoma
Ashland,KAGI,AM,930,Oregon
Ashland,KSJK,AM,1230,Oregon
Ashland,KSMF,FM,89.1,Oregon
Ashland,KSRG,FM,88.3,Oregon
Ashland,KSOR,FM,90.1,Oregon
Astoria,KMUN,FM,91.9,Oregon
Bend,KOAB,FM,91.3,Oregon
Coos Bay,KSBA,FM,88.5,Oregon
Corvallis,KOAC,AM,550,Oregon
Eugene,KLCC,FM,89.7,Oregon
Eugene,KRVM,AM,1280,Oregon
Florence,KLFO,FM,88.1,Oregon
Gresham,KMHD,FM,89.1,Oregon
Klamath Falls,KSKF,FM,90.9,Oregon
Newport,KLCO,FM,90.5,Oregon
Pendleton,KRBM,FM,90.9,Oregon
Portland,KOPB,FM,91.5,Oregon
Reedsport,KLFR,FM,89.1,Oregon
Roseburg,KSRS,FM,91.5,Oregon
Allentown,WDIY,FM,88.1,Pennsylvania
Erie,WQLN,FM,91.3,Pennsylvania
Harrisburg,WITF,FM,89.5,Pennsylvania
Harrisburg,WJAZ,FM,91.7,Pennsylvania
Harrisburg,WXPH,FM,88.1,Pennsylvania
Huntingdon,WKVR,FM,92.3,Pennsylvania
Johnstown,WQEJ,FM,89.7,Pennsylvania
Kane,WPSB,FM,90.1,Pennsylvania
Mt. Pocono,WRTY,FM,91.1,Pennsylvania
Philadelphia,WHYY,FM,90.9,Pennsylvania
Philadelphia,WRTI,FM,90.1,Pennsylvania
Philadelphia,WXPN,FM,88.5,Pennsylvania
Pittsburgh,WDUQ,FM,90.5,Pennsylvania
Pittsburgh,WQED,FM,89.3,Pennsylvania
Pittsburgh,WYEP,FM,91.3,Pennsylvania
Scranton,WVIA,FM,89.9,Pennsylvania
State College,WPSU,FM,91.5,Pennsylvania
Rio Piedras,WRTU,FM,89.7,Puerto Rico
San Juan,WOSO,AM,1030,Puerto Rico
N.Providence,WRNI,AM,1290,Rhode Island
Westerly,WXNI,AM,1230,Rhode Island
Aiken,WLJK,FM,89.1,South Carolina
Beaufort,WJWJ,FM,89.9,South Carolina
Charleston,WSCI,FM,89.3,South Carolina
Columbia,WLTR,FM,91.3,South Carolina
Conway,WHMC,FM,90.1,South Carolina
Greenville,WEPR,FM,90.1,South Carolina
Orangeburg,WSSB,FM,90.3,South Carolina
Rock Hill,WNSC,FM,88.9,South Carolina
Sumter,WRJA,FM,88.1,South Carolina
Brookings,KESD,FM,88.3,South Dakota
Faith,KPSD,FM,97.1,South Dakota
Lowry,KQSD,FM,91.9,South Dakota
Martin,KZSD,FM,102.5,South Dakota
Pierpont,KDSD,FM,90.9,South Dakota
Rapid City,KBHE,FM,89.3,South Dakota
Reliance,KTSD,FM,91.1,South Dakota
Sioux Falls,KCSD,FM,90.9,South Dakota
Vermillion,KUSD,FM,89.7,South Dakota
Chattanooga,WUTC,FM,88.1,Tennessee
Cookeville,WHRS,FM,91.7,Tennessee
Dyersberg,WKNQ,FM,90.7,Tennessee
Jackson,WKNP,FM,90.1,Tennessee
Johnson City,WETS,FM,89.5,Tennessee
Knoxville,WUOT,FM,91.9,Tennessee
Madison,WPLN,AM,1430,Tennessee
Memphis,WKNO,FM,91.1,Tennessee
Murfreesboro,WMOT,FM,89.5,Tennessee
Nashville,WPLN,FM,90.3,Tennessee
Tullahoma,WTML,FM,91.5,Tennessee
Abilene,KACU,FM,89.7,Texas
Austin,KUT,FM,90.5,Texas
Beaumont,KVLU,FM,91.3,Texas
College Station,KAMU,FM,90.9,Texas
College Station,KEOS,FM,89.1,Texas
Corpus Christi,KEDT,FM,90.3,Texas
Dallas,KERA,FM,90.1,Texas
Denton,KNTU,FM,88.1,Texas
El Paso,KTEP,FM,88.5,Texas
Harlingen,KMBH,FM,88.9,Texas
Houston,KUHF,FM,88.7,Texas
Ingram,KTXI,FM,90.1,Texas
Lubbock,KOHM,FM,89.1,Texas
Lufkin,KLDN,FM,88.9,Texas
McAllen,KHID,FM,88.1,Texas
Odessa,KOCV,FM,91.3,Texas
Prairie View,KPVU,FM,91.3,Texas
San Angelo,KUTX,FM,90.1,Texas
San Antonio,KSTX,FM,89.1,Texas
Texarkana,KTXK,FM,91.5,Texas
Victoria,KVRT,FM,90.7,Texas
Waco,KWBU,FM,103.3,Texas
St.Thomas,WVGN,FM,107.3,US Virgin Islands
Coalville,KCUA,FM,92.5,Utah
Logan,KUSU,FM,91.5,Utah
Salt Lake City,KCPW,FM,88.3,Utah
Salt Lake City,KPCW,FM,91.9,Utah
Salt Lake City,KUER,FM,90.1,Utah
Salt Lake City,KRCL,FM,90.9,Utah
Bennington,WBTN,FM,94.3,Vermont
Burlington,WVPS,FM,107.9,Vermont
Rutland,WRVT,FM,88.7,Vermont
St. Johnsbury,WVPA,FM,88.5,Vermont
Windsor,WVPR,FM,89.5,Vermont
Charlottesville,WVTU,FM,89.3,Virginia
Charlottesville,WVTW,FM,88.5,Virginia
Charlottesville/Crozet,WMRY,FM,103.5,Virginia
